poll_date|politician|approval|disapproval|party_shortname|birthdate|birthplace|occupation|bio|bio_en
2020-05-03|Zuzana Čaputová|0.62|0.3|Independent|1973-06-21|Bratislava|prezidentka SR|Pred zvolením do funkcie prezidentky pôsobila ako právnička, advokátka a občianska aktivistka. Je spoluzakladateľkou a bývalou podpredsedníčkou mimoparlamentného liberálneho hnutia Progresívne Slovensko. Dlhoročne pôsobila v neziskovom sektore ako spolupracovníčka občianskeho združenia VIA IURIS, ktoré sa venuje posilňovaniu právneho štátu a presadzovaniu spravodlivosti vo vybraných oblastiach práva. V roku 2016 bola ako právnička občianskej iniciatívy Skládka nepatrí do mesta, usilujúcej sa o uzavretie skládky odpadov v Pezinku, ocenená Goldmanovou environmentálnou cenou. Problematike pezinskej skládky sa venovala 14 rokov. V septembri 2017 oznámila odchod z tímu VIA IURIS a pokračovanie v advokátskej praxi. V rámci advokácie sa plánovala aj naďalej venovať environmentálnym témam. Dňa 6. mája 2019 získala v Bruseli ocenenie Európska osobnosť roka.|Slovak politician, lawyer, and environmental activist who has been President of Slovakia since 15 June 2019. Čaputová is the first woman to hold the presidency, as well as the youngest president in the history of Slovakia, elected at the age of 45. She first became known by prevailing in a decade-long struggle against the situating of a toxic landfill in her hometown of Pezinok. For this, Čaputová was awarded the 2016 Goldman Environmental Prize.
2020-05-03|Peter Pellegrini|0.55|0.39|SMER|1975-10-06|Banská Bystrica|poslanec NR SR|Peter Pellegrini je slovenský politik, súčasný predseda vlády SR. Pôsobil na poste tajomníka ministerstva financií. Prezident Andrej Kiska ho 3. júla 2014 vymenoval za ministra školstva, keď nahradil Dušana Čaploviča. 24. novembra 2014 bola medializovaná správa, že bude zvolený do funkcie predsedu parlamentu. Na poste ministra školstva ho nahradil Juraj Draxler. Po parlamentných voľbách v roku 2016 sa stal podpredsedom vlády pre investície a informatizáciu. 15. marca 2018 bol poverený prezidentom SR Andrejom Kiskom zostavením novej vlády potom, čo tretia vláda Roberta Fica podala demisiu v dôsledku politickej krízy po vražde investigatívneho novinára Jána Kuciaka a jeho snúbenice. Pellegrini prezidentovi predložil 79 podpisov poslancov, ktorí majú nový kabinet podporiť. 22. marca 2018 ho prezident vymenoval za predsedu vlády SR.|A Slovak politician who has served as Prime Minister of Slovakia from 2018 to 2020 and Minister of Health from December 2019 to March 2020. He previously served as Deputy Prime Minister (2016–2018) and Minister for Education and Science (2014), as well as spending two years as Speaker of the National Council (2014–2016). Pellegrini is a member of Direction – Social Democracy.
2020-05-03|Igor Matovič|0.48|0.44|OĽaNO|1973-05-11|Trnava|premiér SR|Igor Matovič je slovenský politik a bývalý podnikateľ. Od roku 2010 je poslanec NR SR najskôr na kandidačnej listine SaS a neskôr ako predseda hnutia OBYČAJNÍ ĽUDIA a nezávislé osobnosti. V rokoch 1993 – 1998 absolvoval Fakultu managementu na Univerzite Komenského v Bratislave, odbor Finančný manažment. Od roku 1997 pôsobí ako živnostník. V roku 2002 založil vydavateľstvo regionPRESS, ktoré v súčasnosti vydáva 36 regionálnych týždenníkov na celom Slovensku.[1] V roku 2007 dal prepísať firmu na svoju manželku Pavlínu.[2] Od roku 2010 je poslancom Národnej rady SR a zakladateľom hnutia Obyčajní ľudia a nezávislé osobnosti, v súčasnosti aj jej predsedom.|"Currently serving as the Prime Minister of Slovakia. Born in Trnava, he studied at Comenius University and went into the publishing business. Matovič founded the Ordinary People (Obyčajní ľudia) movement which ran on an anti-corruption ticket and was politically to the centre-right. His anti-corruption campaigning has been marked out by ""publicity stunts to shine a light on alleged graft"" particularly focusing on parliamentary privileges and bribery."
2020-05-03|Boris Kollár|0.46|0.44|SME RODINA|1965-08-14|Bratislava|predseda NR SR|Boris Kollár je slovenský podnikateľ a politik. Pochádza z chudobnej rodiny. Vychovávala ho matka. Ako dieťa hrával tenis. Študoval na Gymnáziu Alexandra Markuša, Bratislava. V rokoch 2010 – 2015 absolvoval vysokoškolské štúdium na Stredoeurópskej vysokej škole v Skalici, kde získal titul Mgr. Bol napríklad aj predsedom správnej rady Vysokej školy výtvarných umení v období 2010 až 2014. Kollár je slobodný a je otcom 10-tich detí. Popri jeho boku sa pohybovali napríklad Petra Krištúfková, moderátorka Zuzana Belohorcová, moderátorka TV JOJ Stanka Pavolová, herečka Karin Haydu alebo aj česká herečka Kateřina Brožová.|"Slovak businessman and politician currently serving as the Speaker of the National Council of the Slovak Republic. In 2015, he started the political party We Are Family (Slovak: Sme Rodina) with the stated goal of ""to erase corruption from Slovak society and to successfully fight against political oligarchy."" His views include libertarian economics combined with soft Euroscepticism. He views uncontrolled immigration as a danger for all of Europe."
2020-05-03|Richard Sulík|0.34|0.55|SaS|1968-01-12|Bratislava|minister hospodárstva|Richard Sulík je slovenský ekonóm, politik, bývalý europoslanec. Je zakladateľom pravicovo-liberálnej politickej strany Sloboda a Solidarita. Vo vláde Ivety Radičovej v období rokov 2010 až 2011 bol predsedom NR SR. Richard Sulík sa narodil 12. januára 1968 v Bratislave, má dve mladšie sestry. V dvanástich rokoch emigroval spolu s rodičmi do Západného Nemecka, kde študoval fyziku a neskôr ekonómiu na mníchovskej univerzite Ludwig Maximilian Universität. V roku 1991 sa vrátil na Slovensko, kde založil firmu FaxCOPY a riadil ju 10 rokov. Vo firme už nepôsobí a nemá v nej po predaji ani majetkový podiel. V roku 2003 promoval na Národohospodárskej fakulte Ekonomickej univerzity v Bratislave.|An economist, politician and former European MP. Born 12. January 1968 in Bratislava, his family soon emigrated to the Western Germany, where he studied physics and later economics at the Ludwig Maximilian Universität. He later founded a successful printing company FAXCopy. Later entered national politics as the head of the liberal party Sloboda a Solidarity (Liberty and Solidarity). Right after the first elections in 2010, he became the head of the parliament between and served in the function until 2012. 
2020-05-03|Marian Kotleba|0.22|0.69|ĽSNS|1977-04-07|Banská Bystrica|poslanec NR SR|Ing. Mgr. Marian Kotleba je slovenský nacionalistický až neonacistický politik, bývalý predseda Banskobystrického samosprávneho kraja, popredný predstaviteľ (volebný líder) Ľudovej strany Naše Slovensko, poslanec Národnej rady Slovenskej republiky, člen Výboru NR SR pre obranu a bezpečnosť a bývalý pedagóg. V minulosti pôsobil ako vodca nacionalistického politického hnutia Slovenská pospolitosť (2003 – 2007), ktoré bolo v roku 2006 rozpustené Najvyšším súdom Slovenskej republiky pre jeho extrémistické politické tendencie a rozpor s ústavou. V parlamentných voľbách v roku 2016 kandidoval na čele kandidátky strany Kotleba – Ľudová strana Naše Slovensko. Bol zvolený za poslanca NR SR. Kandidoval na 1. mieste. Dostal 156 355 platných prednostných hlasov. Je členom osobitného kontrolného výboru NR SR na kontrolu činnosti SIS a výboru NR SR pre obranu a bezpečnosť.|"Marian Kotleba is a Slovak politician and leader of the far-right Kotleba – People's Party Our Slovakia. In 2016 Kotleba won in the regional elections in Banská Bystrica and served as the Governor. His win was described as a ""shock"" by political analysts, who attributed it to deep anti-Romani sentiments in the region. Marian Kotleba holds views considered extremist. He is openly against Roma people, NATO, the United States and the European Union. The BBC and The Economist have described him as a neo-Nazi."
2020-05-03|Andrej Kiska|0.24|0.68|ZA ĽUDÍ|1963-02-02|Poprad|predseda strany ZA ĽUDÍ|Andrej Kiska je slovenský politik a predseda politickej strany ZA ĽUDÍ. Bol štvrtým prezidentom Slovenskej republiky, do funkcie zvolený ako občiansky kandidát 29. marca 2014 a do úradu inaugurovaný 15. júna 2014. Filantrop, spisovateľ a bývalý podnikateľ, vzdelaním elektrotechnický inžinier, je spoluzakladateľom splátkových nebankových spoločností Tatracredit, Triangel, Quatro, spoluzakladateľom a spolumajiteľom firmy KTAG. Kiska je spoluzakladateľom charitatívnej neziskovej organizácie Dobrý Anjel. V novembri 2006 získal od časopisu Trend titul Manažér roka a v roku 2011 sa stal držiteľom ocenenia Krištáľové krídlo za filantropiu. O svojej ceste, úspechu, šťastí a schopnostiach napísal dve knihy. Poskytuje tiež prednášky stredoškolákom a vysokoškolákom.|Andrej Kiska is a Slovak politician, entrepreneur, writer and philanthropist who was President of Slovakia from 2014 to 2019. He ran as an independent candidate in the 2014 presidential election and was elected as President in the second round of voting. In 2006, Kiska co-founded a non-profit charitable organization called Dobrý anjel (translated as Good Angel), in which donors help families that have found themselves in a difficult financial situation as a result of a family member contracting a serious disease.
2020-05-03|Tomáš Drucker|0.23|0.56|DOBRÁ VOĽBA|1978-07-20|Bratislava|poslanec NR SR|Tomáš Drucker je slovenský manažér a predseda politickej strany Dobrá voľba. Počas svojej kariéry zastával okrem iného aj funkciu generálneho riaditeľa a predsedu predstavenstva Slovenskej pošty, a.s., funkciu ministra zdravotníctva SR a funkciu ministra vnútra SR. Tomáš Drucker sa narodil 20. júla 1978 v Bratislave. Na Slovenskej technickej univerzite, na Materiálovo-technologickej fakulte so sídlom v Trnave vyštudoval aplikovanú informatiku a automatizáciu v priemysle a je tiež absolventom Právnickej fakulty Trnavskej univerzity. V rokoch 1997 – 2002 pracoval v spoločnosti Gratex International a.s. postupne ako programátor, vedúci multimediálneho oddelenia a multimediálnych projektov, a nakoniec ako vedúci oddelenia kvality softvéru a člen IT vedenia. Ďalšie dva roky bol konzultantom v spoločnosti Compuware Austria GmbH. V rokoch 2004 – 2012 pracoval v konzultačnej spoločnosti IQUAP, a.s. najprv ako konzultant potom ako CEO a predseda predstavenstva.|Tomáš Drucker is the leader of the party Dobrá voľba (Good Choice). He studied applied informatics in Bratislava and law in Trnava. After finishing his studies, he worked on various managerial position in IT. Later served as the Chief Executive Officer of Slovak Post and accepted a nomitation for minster of Health in Robert Fico's 2016 cabinet. He later served shortly as a minister of Interior, but resigned in protest against political pressures surrounding the appointment of a police president.
2020-05-03|Róbert Fico|0.2|0.73|SMER|1964-09-15|Topoľčany|poslanec NR SR|Za poslanca NR SR bol prvýkrát zvolený v roku 1992 za SDĽ, v rokoch 1994 – 2005 pôsobil v Parlamentnom zhromaždení Rady Európy. Po víťazstve jeho strany SMER-SD v parlamentných voľbách 2006 sformoval koalíciu s Mečiarovou ĽS-HZDS a Slotovou SNS a stal sa predsedom vlády. V nasledujúcom období 2010 – 2012 pôsobil v opozícii a po parlamentných voľbách 2012, v ktorých strana SMER-SD získala 44,41 % platných hlasov, zostavil jednofarebnú vládu. V roku 2014 neúspešne kandidoval v prezidentských voľbách, kde bol porazený v 2. kole nezávislým kandidátom Andrejom Kiskom, ktorý získal 59,38 % platných hlasov. Je absolventom Právnickej fakulty Univerzity Komenského v Bratislave, kde študoval právo. Pôsobil ako pracovník Právnického inštitútu Ministerstva spravodlivosti SR a ako agent pre zastupovanie SR v konaní pred Európskym súdom pre ľudské práva a Európskou komisiou pre ľudské práva. Taktiež pôsobil ako vysokoškolský pedagóg, od roku 2002 s vedecko-pedagogickou hodnosťou docenta.|Served as Prime Minister of Slovakia from 2006 to 2010 and later from 2012 until his resignation in 2018. He has been the leader of the Direction – Social Democracy (SMER-SD) party since 1999. First elected to Parliament in 1992 (whilst within Czechoslovakia), he was later appointed to the Council of Europe. On 15 March 2018, in the wake of the political crisis following the murder of Ján Kuciak, Fico delivered his resignation to President Andrej Kiska, who then formally charged Deputy Prime Minister Peter Pellegrini with the formation of a new government.
2020-05-03|Michal Truban|0.18|0.58|PS|1983-10-22|Kysucký Lieskovec|predseda strany Progresívne Slovensko|Michal Truban je slovenský politik, podnikateľ, bývalý spolumajiteľ webhostingovej spoločnosti Websupport, angel investor, zakladateľ viacerých startupov, spoluzakladateľ združenia Slovensko.Digital a predseda politického hnutia Progresívne Slovensko. Člen viacerých mimovládnych združení, bloger a amatérsky športovec. Celé svoje detstvo prežil v dedine Kysucký Lieskovec na severe Slovenska, kde aj zároveň navštevoval základnú školu. Neskôr študoval na Strednej priemyselnej škole stavebnej v Žiline odbor geodézia, kartografia a kataster. Počas štúdia na strednej škole založil aktuálne najväčšiu webhostingovú spoločnosť na Slovensku, Websupport. Od roku 2002 do roku 2009 študoval na Fakulte elektrotechniky a informatiky Slovenskej technickej univerzity v Bratislave odbor aplikovaná informatika.|Founder of a successful webhosting company, angel investor and an anti-corruption activist who favors digitalization of governance and bureaucracy. Truban was the leader of the PS/Spolu coalition in 2020 general election. However on election day, in rather stunning fashion, the PS/Spolu coalition narrowly missed on entering the National Council after finishing with 6.96% of the vote, as coalitions must reach a threshold of 7% in order to enter parliament. As a result, Truban resigned on his position in the party.
2020-05-03|Andrej Danko|0.17|0.71|SNS|1974-08-12|Revúca|predseda NR SR|Andrej Danko je slovenský nacionalistický politik a právnik (s pozastaveným výkonom advokácie), ktorý od roku 2012 pôsobí vo funkcii predsedu Slovenskej národnej strany a od vzniku tretej vlády Roberta Fica 23. marca 2016 ako predseda Národnej rady Slovenskej republiky. 15. novembra 2018 bola medializovaná informácia o tom, že Dankova rigorózna práca predstavuje plagiát, čo 11. januára 2019 potvrdila Účelová komisia Akademického senátu Univerzity Mateja Bela v Banskej Bystrici. Pre svoje kauzy a nesúrodý až zmätočný štýl vyjadrovania býva častým terčom politickej satiry.|Born in Revúca, Danko studied at the Faculty of Law at Comenius University in Bratislava. After compulsory military service, he founded several commercial companies and worked as an independent lawyer. During 2006–2010, he was an assistant in the National Council of Slovakia and a member of several parliamentary commissions. In 2012, he became the chairman of the party after getting support from many of the party's members, succeeding Ján Slota. On 23 March 2016 Danko was elected Speaker of the National Council, serving in the office until March 2020.
2020-05-03|Alojz Hlina|0.13|0.66|KDH|1970-10-22|Liptovský Mikuláš|predseda strany KDH|Alojz Hlina je slovenský podnikateľ v gastronómii, občiansky aktivista a bývalý poslanec NR SR. Od júna 2016 je predsedom mimoparlamentného hnutia KDH. Vyštudoval Strednú školu poľnohospodársku (dnes SOŠ polytechnická). Následne začal študovať na Vysokej škole poľnohospodárskej (dnešná SPU) v Nitre. Po Nežnej revolúcii zo školy odišiel a stal sa prvým manažérom združenia Vysokoškolská únia Slovenska. Neskôr sa venoval podnikaniu v oblasti gastronómie.|Alojz Hlina is an activist and former MP. Studied agriculture in Nitra. After the Velvet revolution, he became the first manager of the university students union in Slovakia. Later started business in gastronomy and entered national politics as the MP for OĽANO. He was the head of the conservative party KDH until the unsuccessful elections of 2020.
